_id	type	title	body	url	date	policies
1	policy	Uphill & after hours policy	UPHILL TRAFFIC IS NOT PERMITTED DURING HOURS OF LIFT OPERATIONS We ask that you leave the base area no later than 45 minutes before the lifts actually open so that you can get up top before encountering skiers coming downhill.	https://www.madriverglen.com/uphill-and-after-hours-policy/		
2	policy	Snowboard policy	In an effort to preserve the mountain’s unique character the shareholders of the Mad River Glen Cooperative have opted to not permit snowboarding at Mad River Glen. We are well aware that this policy is quite uncommon and we strive to make sure that people are aware of the policy prior to visiting.	https://www.madriverglen.com/snowboard-policy/		
3	policy	Drone policy	Out of safety concerns for guests, employees and ski area property, as well as concerns for individual privacy, Mad River Glen Ski Area prohibits the operation or use of unmanned aerial systems or drones by the general public – including recreational users and hobbyists – without the prior authorization from management.	https://www.madriverglen.com/drone-policy/		
4	policy	Operating hours	Generally speaking Mad River Glen’s season runs from mid-December to Mid -April. That being said, we are predominantly a natural snow mountain and we have to work with what Mother Nature provides.	http://www.madriverglen.com/hours/		
5	policy	Backpack policy	Small children and infants are not allowed in either front-loading carriers or backpack style carriers on any lift at Mad River Glen Ski Area.  It is RECOMMENDED that riders move the small backpack to the front of their torso to allow their back to touch the back of chair, and ensure all straps are tucked in and not dangling loose.  It is the guest’s responsibility to check for loose equipment before exiting the chairlift.	https://www.madriverglen.com/backpack-policy/		
6	decision	Charging seniors	Shareholder Craig Keown presented a letter to the board expressing dismay at the decision to start charging senior (over 70) shareholders for lift services. He gave a passionate speech about his family’s long time support of Mad River Glen and his concern that MRG was changing. He suggested charging all shareholders a small amount or raising the APR instead of charging seniors. He contended this was a fundamental change in the MRG bylaws and called for a vote by the shareholders to approve that change. The board responded that considerable thought and discussion went into the decision to make the change and the fact it had been suggested by other senior shareholders. The board discussed his contention and unanimously agreed it was not a fundamental change requiring a vote by shareholders.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-sept-13-2014/	September 13, 2014	
7	decision	Right of first refusal on the Bakewell property	Waive the Cooperative’s right of first refusal on Bakewell property just below the parking lot. The executive committee met via phone conference on Thursday July 21st to discuss the ROFR on the Bakewell property. After thorough review of the costs to develop the land for parking and for snowmaking water storage, they unanimously agreed it was fiscally imprudent to obtain the property and instructed President Wimble to have counsel release the right of first refusal.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-sept-13-2014/	September 13, 2014	
8	policy	Snowmaking	Motion. Snowmaking. On consideration of the current analysis of costs, availability of water and land, to proceed with Option One at this time, which replaces the existing system in a manner consistent with the possibility of future expansion should that expansion be determined to be desirable and feasible in the future. Approved.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-sept-13-2014/	September 13, 2014	
9	motion (approved)	Capital Campaign	Motion. To approve the Mad River Glen Capital Campaign minimum needs as presented by the Campaign committee. Approved.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-sept-13-2014/	September 13, 2014	
10	clip	Mid-week skiing	Shareholder Betsy Pratt questioned if we were running a business or a charity and we should strive to get more people here during the mid-week.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-sept-13-2014/	September 13, 2014	
11	policy	Memorandum of Understanding (MOU) with Stark Mountain Foundation (SMF)	Trustees Holtan and Elkind jointly announced with great excitement that the Memorandum of Understanding (MOU) with Stark Mountain Foundation (SMF) on the “Preserving our Paradise” fund raising campaign had been executed. They thanked all involved for the hard work and time spent on the project.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-january-10-2015/	January 10, 2015	
12	clip	Share redemption	Trustee Holtan made note that per the terms of the MOU with SMF, there is no link between grants from the campaign and share redemptions.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-february-7-2015/	February 7, 2015	
13	clip	Drone policy	The use of unmanned drones (Unmanned Aerial Systems – UAS) is a concern for public safety as well as a potential infringement on individual privacy rights. For this reason the use of drones for photography or other use at Mad River Glen is prohibited without prior written authorization from the general manager. The safety and privacy of our guests is of primary importance.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-march-14-2015/	March 14, 2015	3
14	motion (approved)	Share redemption	Motion. 1. The finance committee recommends that the shares tendered during FY 2014 be redeemed promptly. 2. To follow the finance committee’s recommendation to redeem shares tendered in fiscal year 2014.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-april-4-2015/	April 4, 2015	
15	motion (approved)	Share redemption	Motion 1. To vote to approve the less discretion share redemption policy dated March 24th, 2015. 2. The board also asked Jamey to start separating the share sales from the operating budget starting next year.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-may-9-2015/	May 9, 2015	
16	policy	Stark Mountain Grant Writing Process	Each year the board reviews summer spend and capital projects. This is designed in a three tier list “Tier 1” being most important and “Tier 3” being nice to do. The tiered list should identify projects that staff recommends to be funded through the operational budget along with those to be supported by the Capital Campaign, provided they coincide with the capital budget proforma for the Paradise Campaign. These items will be approved by the board and staff will fill out grant applications to SMF that are deemed part of the campaign.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-may-9-2015/	May 9, 2015	
17	motion (approved)	Board appointments	To approve appointing all future board members who will comprise the incoming board to a committee to help determine the officers.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-may-9-2015/	May 9, 2015	
18	motion (approved)	Phase 2 of the Preserve Our Paradise Capital Campaign	To approve the $337,500 contract for Phase 2 of the “Preserve our Paradise” capital campaign with Demont & Associates	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-june-13-2015/	June 13, 2015	
19	decision	Right of first refusal on the Jondro property	Waive the Cooperative’s right of first refusal on Jondro property	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-september-12-2015/	September 12, 2015	
20	decision	Right of first refusal on the Depper/Goldstein property	Waive the Cooperative’s right of first refusal on Depper/Goldstein property	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-september-12-2015/	September 12, 2015	
21	motion (approved)	Share redemption	1. Purpose: to implement Share Redemption Procedure adopted at May Board meeting 2. Established a separate Share Proceeds Account for new share sales 3. Money earmarked first for redeeming shares tendered 4. Excess monies after all shares redeemed can be used to fund the general capital needs of Co-Op (Derry question) 5. Formalization of steps to convert shares to Preservation Certificates 6. Accounting for conversion at Carrying Value less any outstanding APR (at time of conversion) 7. Option to reconvert to share at original Carrying Value if APR paid back (Jim Elkind question)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-14-2015/	November 14, 2015	
22	motion (approved)	Directors and Officers (D&O) Insurance	Motion 1. Motion by John Eberlein to approve increase in D&O coverage to $5MM for 3-A and $2 MM for 3-C to take effect immediately. 2. Question from John Ayers re: coverage for Ski Patrol; Jamey responded that patrollers are covered under General Liability policy.	https://www.madriverglen.com/meeting-item/board-of-trustees-minutes-january-9-2016/	January 9, 2016	
23	policy	Recognition of financial contributions to the Co-op	1. The purpose of this policy is to provide the Board of Trustees, management, supporters, and other stakeholders in the Mad River Glen Cooperative with a policy and guidelines that can be used to determine how those who support Mad River Glen with financial contributions (directly to Mad River Glen or through a fiscal sponsor) shall be recognized and memorialized. 2. It is the policy of Mad River Glen to limit the number and locations of plaques on its property and Structures in order to preserve the classic Mad River Glen skiing experience and its friendly community atmosphere.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-6-2016/	February 6, 2016	48
24	motion (approved)	Honoring Howard Martin	Motion. To permit two donors each giving $125k for a total of $250k to the campaign to honor Howard Martin with a plaque in the newly renovated Birdcage, given that all four criteria outlined on the criteria are met.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-march-12-2016/	March 12, 2016	23
25	policy	Absence Nofication Policy	Personnel. Any employee who is not coming to work for their regular schedule will call their supervisor as soon as they know they are too ill to come in or have an emergency, etc. An estimate of when they expect to return should be provided as well...	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-saturday-may-14-2016/	May 14, 2016	
26	policy	Equipment Use Policy	Pesonnel. Employees, shareholders and guests are not permitted to use any Mad River Glen equipment or vehicles off premise or off the clock. Assets such as trees cannot be harvested for wood for personal use by employees, shareholders or guests...	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-saturday-may-14-2016/	May 14, 2016	
27	policy	Sick Leave Acrrual and Usage Policy	Personnel. Full-time, year-round employees are allotted 5 sick days per calendar year. These sick days are to be taken used for employee / immediate family illness, medical, dental or optical appointments only. Sick days can be taken in no less than half-day increments. Sick days are not to be considered secondary or additional vacation time. Unused sick days are not rolled over to the next year and are not paid...	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-saturday-may-14-2016/	May 14, 2016	
28	policy	Vacation Accrual and Use Policy	Personnel. 1. Full-time year-round employees accrue vacation at the completion of: 1. 1-4 years of service – 10 days’ vacation time 2. 5-9 years of service – 15 days’ vacation time 3. 10 or more years of service – 20 days’ vacation time 4. ...	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-saturday-may-14-2016/	May 14, 2016	
